Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,287527,-,-,-,51.01,-113.94,-7,1047,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2011,1,1,0,0,0,0,1,-19,0.866,1.9000000000000001,74.74,-16,880,N/A
2011,1,1,0,30,0,0,1,-19,0.866,1.9000000000000001,68.79,-15,880,N/A
2011,1,1,1,0,0,0,1,-19,0.866,1.9000000000000001,70.7,-15,880,N/A
2011,1,1,1,30,0,0,1,-19,0.866,1.9000000000000001,70.7,-15,880,N/A
2011,1,1,2,0,0,0,0,-18,0.866,2,72.14,-15,880,N/A
2011,1,1,2,30,0,0,1,-18,0.866,2,72.13,-15,880,N/A
2011,1,1,3,0,0,0,1,-18,0.866,2,72.37,-15,880,N/A
2011,1,1,3,30,0,0,0,-18,0.866,1.9000000000000001,72.36,-15,880,N/A
2011,1,1,4,0,0,0,1,-18,0.866,1.9000000000000001,73.77,-15,880,N/A
2011,1,1,4,30,0,0,1,-18,0.866,1.9000000000000001,67.94,-14,880,N/A
2011,1,1,5,0,0,0,1,-18,0.866,1.9000000000000001,70.65,-14,880,N/A
2011,1,1,5,30,0,0,0,-18,0.866,1.9000000000000001,65.11,-13,880,N/A
2011,1,1,6,0,0,0,7,-17,0.866,1.9000000000000001,71.86,-13,880,N/A
2011,1,1,6,30,0,0,7,-17,0.866,1.9000000000000001,66.27,-12,880,N/A
2011,1,1,7,0,0,0,7,-15,0.866,1.9000000000000001,75.86,-12,880,N/A
2011,1,1,7,30,0,0,7,-15,0.866,1.9000000000000001,70.01,-11,880,N/A
2011,1,1,8,0,0,0,7,-14,0.866,2,77.52,-11,880,N/A
2011,1,1,8,30,0,0,7,-14,0.866,2,71.61,-10,880,N/A
2011,1,1,9,0,3,0,7,-13,0.866,2.1,78.34,-10,880,N/A
2011,1,1,9,30,10,0,7,-13,0.866,2.4000000000000004,72.41,-9,880,N/A
2011,1,1,10,0,17,0,7,-11,0.866,2.7,77.86,-8,880,N/A
2011,1,1,10,30,72,107,7,-11,0.866,3,72.05,-7,880,N/A
2011,1,1,11,0,53,700,1,-9,0.866,3.4000000000000004,76.21000000000001,-6,880,N/A
2011,1,1,11,30,57,735,1,-9,0.866,3.5,70.61,-5,880,N/A
2011,1,1,12,0,62,741,1,-8,0.866,3.6,78.93,-5,880,N/A
2011,1,1,12,30,63,750,0,-8,0.866,3.5,73.19,-4,880,N/A
2011,1,1,13,0,40,0,7,-7,0.866,3.5,79.49,-4,880,N/A
2011,1,1,13,30,40,0,7,-7,0.866,3.5,79.47,-4,880,N/A
2011,1,1,14,0,21,0,7,-6,0.866,3.5,81.81,-4,880,N/A
2011,1,1,14,30,55,0,8,-6,0.866,3.7,81.8,-4,880,N/A
2011,1,1,15,0,29,0,7,-7,0.866,4,79.29,-4,880,N/A
2011,1,1,15,30,19,0,7,-7,0.866,4.1000000000000005,79.3,-4,880,N/A
2011,1,1,16,0,9,0,7,-7,0.866,4.2,82.83,-5,880,N/A
2011,1,1,16,30,0,0,7,-7,0.866,4.2,82.84,-5,880,N/A
2011,1,1,17,0,0,0,7,-7,0.866,4.2,81.08,-5,880,N/A
2011,1,1,17,30,0,0,6,-7,0.866,4.2,81.09,-5,880,N/A
2011,1,1,18,0,0,0,6,-8,0.866,4.2,79.42,-5,880,N/A
2011,1,1,18,30,0,0,7,-8,0.866,4.3,79.43,-5,880,N/A
2011,1,1,19,0,0,0,6,-8,0.866,4.5,84.06,-6,880,N/A
2011,1,1,19,30,0,0,6,-8,0.866,4.6000000000000005,84.07000000000001,-6,880,N/A
2011,1,1,20,0,0,0,7,-8,0.866,4.7,82.60000000000001,-6,880,N/A
2011,1,1,20,30,0,0,4,-8,0.866,4.800000000000001,82.60000000000001,-6,880,N/A
2011,1,1,21,0,0,0,7,-8,0.866,4.9,81.32000000000001,-6,880,N/A
2011,1,1,21,30,0,0,7,-8,0.866,4.9,81.33,-6,880,N/A
2011,1,1,22,0,0,0,8,-8,0.866,4.9,80.66,-6,880,N/A
2011,1,1,22,30,0,0,8,-8,0.866,4.800000000000001,80.68,-6,880,N/A
