Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,287527,-,-,-,51.01,-113.94,-7,1047,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2016,1,1,0,0,0,0,4,-13,0.866,3.1,64.21000000000001,-8,900,N/A
2016,1,1,0,30,0,0,4,-13,0.866,3,64.2,-8,900,N/A
2016,1,1,1,0,0,0,1,-13,0.866,3,62.74,-8,900,N/A
2016,1,1,1,30,0,0,1,-13,0.866,3,62.730000000000004,-8,900,N/A
2016,1,1,2,0,0,0,1,-14,0.866,3,61.92,-8,900,N/A
2016,1,1,2,30,0,0,1,-14,0.866,3,61.92,-8,900,N/A
2016,1,1,3,0,0,0,1,-14,0.866,3,61.96,-8,900,N/A
2016,1,1,3,30,0,0,1,-14,0.866,3,61.95,-8,900,N/A
2016,1,1,4,0,0,0,1,-13,0.866,3.1,62.32,-8,900,N/A
2016,1,1,4,30,0,0,1,-13,0.866,3.1,62.300000000000004,-8,900,N/A
2016,1,1,5,0,0,0,1,-13,0.866,3.1,62.36,-8,900,N/A
2016,1,1,5,30,0,0,1,-13,0.866,3,62.35,-8,900,N/A
2016,1,1,6,0,0,0,8,-14,0.866,2.9000000000000004,61.96,-8,900,N/A
2016,1,1,6,30,0,0,4,-14,0.866,2.8000000000000003,57.35,-7,900,N/A
2016,1,1,7,0,0,0,4,-14,0.866,2.7,56.620000000000005,-7,900,N/A
2016,1,1,7,30,0,0,4,-14,0.866,2.7,56.620000000000005,-7,900,N/A
2016,1,1,8,0,0,0,4,-14,0.866,2.7,55.39,-7,900,N/A
2016,1,1,8,30,0,0,8,-14,0.866,2.7,51.31,-6,900,N/A
2016,1,1,9,0,25,0,4,-13,0.866,2.7,54.5,-6,900,N/A
2016,1,1,9,30,24,606,4,-13,0.866,2.6,46.85,-4,900,N/A
2016,1,1,10,0,32,726,8,-10,0.866,2.5,55.06,-3,900,N/A
2016,1,1,10,30,38,799,1,-10,0.866,2.4000000000000004,47.5,-1,900,N/A
2016,1,1,11,0,42,847,4,-7,0.866,2.3000000000000003,57.02,0,900,N/A
2016,1,1,11,30,45,876,1,-7,0.866,2.3000000000000003,57,0,890,N/A
2016,1,1,12,0,47,893,1,-5,0.866,2.4000000000000004,63.550000000000004,1,890,N/A
2016,1,1,12,30,47,899,1,-5,0.866,2.4000000000000004,63.53,1,890,N/A
2016,1,1,13,0,47,897,1,-3,0.866,2.5,70.01,1,890,N/A
2016,1,1,13,30,46,885,1,-3,0.866,2.3000000000000003,75.25,0,890,N/A
2016,1,1,14,0,44,861,1,-3,0.866,2.2,77,0,890,N/A
2016,1,1,14,30,41,825,1,-3,0.866,2.1,82.81,-1,890,N/A
2016,1,1,15,0,36,768,1,-4,0.866,2.1,80.94,-2,890,N/A
