Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,287527,-,-,-,51.01,-113.94,-7,1047,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
1999,1,1,0,0,0,0,8,-10,0.866,3.5,77.84,-7,880,N/A
1999,1,1,0,30,0,0,7,-10,0.866,3.5,77.89,-7,880,N/A
1999,1,1,1,0,0,0,7,-10,0.866,3.6,75.99,-7,880,N/A
1999,1,1,1,30,0,0,8,-10,0.866,3.7,76.04,-7,880,N/A
1999,1,1,2,0,0,0,1,-10,0.866,3.9000000000000004,73.65,-8,880,N/A
1999,1,1,2,30,0,0,8,-10,0.866,3.8000000000000003,73.69,-8,890,N/A
1999,1,1,3,0,0,0,8,-11,0.866,3.8000000000000003,75.97,-8,890,N/A
1999,1,1,3,30,0,0,1,-11,0.866,3.8000000000000003,76,-8,890,N/A
1999,1,1,4,0,0,0,1,-12,0.866,3.8000000000000003,78.04,-9,890,N/A
1999,1,1,4,30,0,0,1,-12,0.866,3.8000000000000003,78.09,-9,890,N/A
1999,1,1,5,0,0,0,1,-12,0.866,3.9000000000000004,73.79,-9,890,N/A
1999,1,1,5,30,0,0,1,-12,0.866,3.8000000000000003,73.84,-9,890,N/A
1999,1,1,6,0,0,0,7,-13,0.866,3.8000000000000003,76.89,-10,890,N/A
1999,1,1,6,30,0,0,7,-13,0.866,3.5,76.93,-10,890,N/A
1999,1,1,7,0,0,0,7,-13,0.866,3.3000000000000003,74.91,-10,890,N/A
1999,1,1,7,30,0,0,7,-13,0.866,2.9000000000000004,74.95,-10,890,N/A
1999,1,1,8,0,0,0,4,-14,0.866,2.5,76.13,-11,890,N/A
1999,1,1,8,30,0,0,0,-14,0.866,2.4000000000000004,76.18,-11,890,N/A
1999,1,1,9,0,10,0,4,-14,0.866,2.3000000000000003,73.7,-11,890,N/A
1999,1,1,9,30,31,16,4,-14,0.866,2.3000000000000003,68.11,-10,890,N/A
1999,1,1,10,0,51,35,7,-13,0.866,2.3000000000000003,75.99,-10,890,N/A
1999,1,1,10,30,44,714,0,-13,0.866,2.4000000000000004,70.26,-9,890,N/A
1999,1,1,11,0,49,767,0,-11,0.866,2.6,73,-8,890,N/A
1999,1,1,11,30,53,800,0,-11,0.866,2.5,67.58,-7,890,N/A
1999,1,1,12,0,55,820,0,-11,0.866,2.5,72.48,-7,890,N/A
1999,1,1,12,30,56,828,0,-11,0.866,2.2,72.49,-7,890,N/A
1999,1,1,13,0,56,827,0,-10,0.866,2,75.84,-7,890,N/A
1999,1,1,13,30,54,814,0,-10,0.866,1.7000000000000002,75.86,-7,890,N/A
1999,1,1,14,0,16,0,4,-10,0.866,1.4000000000000001,76.81,-7,890,N/A
1999,1,1,14,30,14,0,4,-10,0.866,1.2000000000000002,83.01,-8,890,N/A
1999,1,1,15,0,20,0,7,-12,0.866,1.2000000000000002,78.27,-9,900,N/A
1999,1,1,15,30,14,0,8,-12,0.866,1.2000000000000002,84.7,-10,900,N/A
1999,1,1,16,0,7,0,8,-14,0.866,1.4000000000000001,80.21000000000001,-12,900,N/A
1999,1,1,16,30,0,0,7,-14,0.866,1.4000000000000001,80.23,-12,900,N/A
1999,1,1,17,0,0,0,7,-16,0.866,1.5,76.88,-13,900,N/A
