Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,287527,-,-,-,51.01,-113.94,-7,1047,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2001,1,1,0,0,0,0,7,-6,0.866,3.4000000000000004,84.7,-4,890,N/A
2001,1,1,0,30,0,0,7,-6,0.866,3.3000000000000003,84.71000000000001,-4,890,N/A
2001,1,1,1,0,0,0,7,-6,0.866,3.2,84.82000000000001,-4,890,N/A
2001,1,1,1,30,0,0,7,-6,0.866,3.1,84.84,-4,890,N/A
2001,1,1,2,0,0,0,4,-6,0.866,3,84.91,-4,890,N/A
2001,1,1,2,30,0,0,1,-6,0.866,2.9000000000000004,84.92,-4,890,N/A
2001,1,1,3,0,0,0,0,-6,0.866,2.8000000000000003,84.57000000000001,-4,890,N/A
2001,1,1,3,30,0,0,1,-6,0.866,2.7,84.58,-4,890,N/A
2001,1,1,4,0,0,0,0,-6,0.866,2.7,83.41,-4,890,N/A
2001,1,1,4,30,0,0,0,-6,0.866,2.9000000000000004,83.43,-4,890,N/A
2001,1,1,5,0,0,0,1,-6,0.866,3.1,84.12,-4,890,N/A
2001,1,1,5,30,0,0,4,-6,0.866,3.2,78.08,-3,890,N/A
2001,1,1,6,0,0,0,7,-5,0.866,3.4000000000000004,80.62,-3,890,N/A
2001,1,1,6,30,0,0,7,-5,0.866,3.5,74.88,-3,890,N/A
2001,1,1,7,0,0,0,7,-5,0.866,3.6,78.38,-3,890,N/A
2001,1,1,7,30,0,0,7,-5,0.866,3.8000000000000003,78.38,-2,890,N/A
2001,1,1,8,0,0,0,4,-4,0.866,4.1000000000000005,81.96000000000001,-2,890,N/A
2001,1,1,8,30,0,0,7,-4,0.866,4.2,76.18,-1,890,N/A
2001,1,1,9,0,4,0,7,-4,0.866,4.4,79.3,-1,890,N/A
2001,1,1,9,30,14,0,7,-4,0.866,4.3,73.76,0,890,N/A
2001,1,1,10,0,26,0,8,-3,0.866,4.2,78.55,0,890,N/A
2001,1,1,10,30,11,0,8,-3,0.866,4.2,78.57000000000001,0,890,N/A
2001,1,1,11,0,23,0,7,-2,0.866,4.3,84.28,0,890,N/A
2001,1,1,11,30,93,16,7,-2,0.866,4.3,84.29,0,890,N/A
2001,1,1,12,0,81,0,4,-1,0.866,4.3,81.64,1,890,N/A
2001,1,1,12,30,26,0,4,-1,0.866,4,81.66,1,890,N/A
2001,1,1,13,0,69,0,4,-1,0.866,3.7,77.71000000000001,2,890,N/A
2001,1,1,13,30,89,0,4,-1,0.866,3.4000000000000004,83.49,1,890,N/A
2001,1,1,14,0,49,785,1,-1,0.866,3.1,84.18,1,890,N/A
2001,1,1,14,30,45,751,0,-1,0.866,3,90.53,0,890,N/A
