Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,287527,-,-,-,51.01,-113.94,-7,1047,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2017,1,1,0,0,0,0,8,-11,0.866,4.3,86.38,-10,880,N/A
2017,1,1,0,30,0,0,8,-11,0.866,4,86.42,-10,880,N/A
2017,1,1,1,0,0,0,8,-12,0.866,3.7,87.10000000000001,-11,880,N/A
2017,1,1,1,30,0,0,6,-12,0.866,3.3000000000000003,87.15,-11,880,N/A
2017,1,1,2,0,0,0,8,-13,0.866,3,82.76,-11,880,N/A
2017,1,1,2,30,0,0,6,-13,0.866,2.8000000000000003,82.79,-11,880,N/A
2017,1,1,3,0,0,0,6,-13,0.866,2.6,86.52,-12,880,N/A
2017,1,1,3,30,0,0,6,-13,0.866,2.5,86.54,-12,880,N/A
2017,1,1,4,0,0,0,8,-14,0.866,2.5,84.19,-12,880,N/A
2017,1,1,4,30,0,0,6,-14,0.866,2.4000000000000004,84.21000000000001,-12,880,N/A
2017,1,1,5,0,0,0,6,-14,0.866,2.4000000000000004,82.32000000000001,-12,880,N/A
2017,1,1,5,30,0,0,6,-14,0.866,2.3000000000000003,82.34,-12,880,N/A
2017,1,1,6,0,0,0,6,-14,0.866,2.3000000000000003,80.62,-12,880,N/A
2017,1,1,6,30,0,0,6,-14,0.866,2.3000000000000003,80.65,-12,890,N/A
2017,1,1,7,0,0,0,6,-14,0.866,2.3000000000000003,86.15,-13,890,N/A
2017,1,1,7,30,0,0,6,-14,0.866,2.4000000000000004,86.18,-13,890,N/A
2017,1,1,8,0,0,0,6,-14,0.866,2.6,85.46000000000001,-13,890,N/A
2017,1,1,8,30,0,0,6,-14,0.866,2.8000000000000003,85.51,-13,890,N/A
2017,1,1,9,0,20,0,8,-14,0.866,3.1,84.99,-13,890,N/A
2017,1,1,9,30,38,307,8,-14,0.866,3.2,85.01,-13,890,N/A
2017,1,1,10,0,52,470,8,-14,0.866,3.4000000000000004,84.97,-13,890,N/A
